name,text,cluster,xPos,yPos
Citation - 35 ,"Heart disease is the leading cause of death in the United States, causing about 1 in 4 deaths. 1. The term “heart disease” refers to several types of heart conditions. In the United States, the most common type of heart disease is coronary artery disease (CAD), which can lead to heart attack.: ""Safrygin for H. Q., Peshawar.""..
",3,0.5574495455180225,-0.23675200574305377
Citation - 35,"Heart disease is the leading cause of death in the United States, causing about 1 in 4 deaths. 1. The term “heart disease” refers to several types of heart conditions. In the United States, the most common type of heart disease is coronary artery disease (CAD), which can lead to heart attack..
",7,0.14705177130147132,-0.21457588022108437
Citation - 244,"Surveillance report on Cesar Arze, whose residence is 77 Avenue Francis, Santo Domingo, Dominican Republic. Arze, who moved from Havana, Cuba to Santo Domingo in 1992, works as a medical technician in Santo Domingo. Arze is under surveillance because of information that he is associated with Cuban intelligence services. Arze was photographed in company with a man identified as Hector Lopez in Bogota, Columbia on 23 January, 2003. Lopez, a known representative of FARC, has conducted narcotics distribution activities throughout South and Central America and the Caribbean..
",0,0.2017889462148441,0.05738869582332731
Citation - 9,"Based on the 1989 U.S. National Health Interview Survey (NHIS), 3% of men and women age 18-44 years who reported having diabetes also reported having ischemic heart disease. This increased to 14% of those age 45-64 years and 20% of those age ≥65 years. The most common cause of death in adults with diabetes is coronary heart disease. The only national incidence data for the United States come from a 9-year follow-up of the 1971-75 First National Health and Nutrition Examination Survey (NHANES I), in which the age-adjusted death rate per 1,000 person-years was 28.4 for diabetic men and 10.2 for nondiabetic men age 40-77 years at baseline, and 10.5 and 4.1 for diabetic and nondiabetic women, respectively. The excess risk of heart disease occurs with both insulin-dependent diabetes mellitus (IDDM) and non-insulin-dependent diabetes mellitus (NIDDM). In contrast to people without diabetes, heart disease in diabetic individuals appears earlier in life, affects women almost as often as men, and is more often fatal. As presented in Chapter 7, adults with diabetes are more likely than those without diabetes to have hypertension and dyslipidemia (low levels of high-density lipoprotein, HDL, and high levels of triglycerides and small dense low-density lipoprotein, LDL), but some of the increased risk of heart disease associated with diabetes appears to be independent of these factors. Insulin and glucose may act as cardiovascular disease risk factors, but data are inconsistent. The Diabetes Control and Complications Trial (DCCT) found that improved control of blood glucose levels in young adults with IDDM reduced their risk of renal and retinal complications and may have also reduced their excess risk of heart disease. In contrast, preliminary results from the Feasibility Trial of the VA Cooperative Study on Glycemic Control and Complications in Type II Diabetes found an increased risk of cardiovascular events in insulin-treated patients with NIDDM. Further studies are needed to determine the role of insulin in the risk of cardiovascular disease. discussing the transfer of cocaine with members of the National Liberation Army [ELN] in Columbia. The source recognized one of these Cubans as Jose Escalante. This source says that he knew Escalante when they were students in 1991 at a school for medical laboratory technicians in Havana. This source said he believes that Escalante works in some capacity for the Cuban military. Our source also stated that Cuban representatives frequently visit in the tri-border area of Columbia, Ecuador and Peru to arrange for the exchange of weapons of various sorts needed by ELN for cocaine, that the ELN supplies to the Cubans who sell and distribute this narcotic throughout the Caribbean and Central American region..
",7,-0.5717714555381129,-0.12542238884682036
Citation - 212,"A diagnosis of heart attack is based on the findings of an electrocardiogram (ECG). People admitted to hospital with suspected heart attack will be given an ECG within ten minutes of arrival. An ECG machine records the electrical signals generated by the heartbeat and a doctor can interpret this information to assess how well the heart is functioning. , 1950 and now lives in Moscow..
",15,0.5493486541586657,-0.40547085934571336
Citation - 433,"(a) Saeed Hasham [aliases: Hamid Qatada, Yasir Salman]. Member of central staff, Al Qaeda; headed Farooq training camp in Khost area; name appears on many planning documents for insurgent activities in 2002 at Jorm, Taloqan, and the Salang tunnel; received special notice from Osama bin Laden on 22 September 2002 for his planning of successful insurgent actions. (b) Khalid Taha [no recorded aliases], an Egyptian who headed the Spin Shaga camp in Pakhtia province for Kashmiri militants; specializes in chemical weapons. (c) Fahd al Badawi [no recorded aliases]; a Saudi with a medical degree from University of Cairo, Egypt having a specialty in immunology; on medical staff at Farooq training camp in 2001; awarded for successfully treating Osama bin Laden for a bacterial infection in July, 2000..
",16,0.08570729727796166,-0.4415481297447875
Citation - 4421,"Summary Each year, the American Heart Association (AHA), in conjunction with the National Institutes of Health and other government agencies, brings together in a single document the most up-to-date statistics related to heart disease, It has recently been learned that Zinedine left Paris on a flight to Montreal, Canada on 1 April, 2003. He was using a fraudulent French passport in the name Mehdi Rafiki. Another occupant of the house at 73 Rue Duhesme, on interrogation, reported that Abu Hafs, as he knew Zinedine, said he was on his way to Chicago to visit an old friend whom he only identified as Murad. This source, identified as another Moroccan Zakarya Ziyad, said that Zinedine had mentioned that he and Murad would be doing ""great things"" in several cities in America..
",12,-0.30845139907319824,0.4131826756255413
Citation - 34,"Heart Disease and Stroke Statistics—2018 Update: A Report From the American Heart Association.Each annual version of the Statistical Update undergoes revisions to include the newest nationally representative data, add additional relevant published scientific findings, remove older information, add new sections or chapters, and increase the number of ways to access and use the assembled information. This year-long process, which begins as soon as the previous Statistical Update is published, is performed by the AHA Statistics Committee faculty volunteers and staff and government agency partners. This year’s edition includes new data on the monitoring and benefits of cardiovascular health in the population, new metrics to assess and monitor healthy diets, new information on stroke in young adults, an enhanced focus on underserved and minority populations, a substantively expanded focus on the global burden of CVD, and further evidence-based approaches to changing behaviors, implementation strategies, and implications of the AHA’s 2020 Impact Goals. Below are a few highlights from this year’s Update.s Dr. Badawi, the second he identified as Mamdouh al Hazmi, and the third he identified only as Hasham; Omari could not remember his first name. Omari said that all three were members of Al Qaeda..
",16,0.6247176579547502,-0.01834185383283788
Citation -233 ,"FUNDAMENTAL MECHANISMS OF REGULATED CELL DEATH AND IMPLICATIONS FOR HEART DISEASE We review in detail the basic biology of nine including death receptor-mediated apoptosis, death receptormediated necrosis (necroptosis), mitochondrial-mediated apoptosis, mitochondrial-mediated necrosis, autophagy-dependent cell death, ferroptosis, pyroptosis, parthanatos, and immunogenic cell death. This is followed by a dissection of the roles of these cell death programs in the major cardiac syndromes: myocardial infarction and heart failure. The most important conclusion relevant to heart disease is that regulated forms of cardiomyocyte death play important roles in both myocardial infarction with reperfusion (ischemia/reperfusion) and heart failure. While a role for apoptosis in ischemia/reperfusion cannot be excluded, regulated forms of necrosis, through both death receptor and mitochondrial pathways, are critical. Ferroptosis and parthanatos are also likely important in ischemia/reperfusion, although it is unclear if these entities are functioning as independent death programs or as amplification mechanisms for necrotic cell death. Pyroptosis may also contribute to ischemia/reperfusion injury, but potentially through effects in non-cardiomyocytes. Cardiomyocyte loss through apoptosis and necrosis is also an important component in the pathogenesis of heart failure and is mediated by both death receptor and mitochondrial signaling. Roles for immunogenic cell death in cardiac disease remain to be defined but merit study in this era of immune checkpoint cancer therapy. Biology-based approaches to inhibit cell death in the various cardiac syndromes are also discussed. commercial value of $250.00..
",11,0.7417182654201934,-0.24099605912310879
Citation -144,"Understanding of heart disease and diabetes in a South Asian community: cross-sectional study testing the ‘snowball’ sample method. South Asian people living in the UK have a higher rate of heart disease and non-insulin-dependent diabetes. Research into health knowledge and beliefs around these diseases is lacking. Accessing South Asian communities is difficult and is a barrier to research. We have undertaken a cross-sectional survey of South Asian people living in South Tyneside (UK) in 1996 based on a snowball sample to assess understanding of heart disease and diabetes. 334 South Asian men and women aged 16–74 y were interviewed. For heart disease, 115 (35%) people said they did not understand the meaning of the term, 62 (19%) were unable to provide any description, 48 (14%) could not give a single cause, and 54 (17%) could not suggest a preventive measure. For diabetes, 92 (28%) people did not understand the term, 43 (13%) could not provide any description, 75 (22%) were unable to suggest any risk factor and 64 (20%) could not give a preventive measure. For both heart disease and diabetes, two-thirds of respondents said they did not understand enough about the conditions to prevent them. There were important differences by sex and country of origin on the level of understanding with women and Bangladeshi people having lower levels of knowledge. Three of 20 people diagnosed with heart disease knew no preventive measure, and of 16 people with diabetes, six could not name any risk factors for diabetes.o Chicago, Illinois on July 17, 1999..
",6,-0.013926137708141526,0.4882013430911258
